name,prompt,negative_prompt
None,,
MultiDiffusion,"masterpiece, best quality, highres, extremely detailed, clear background,",
负tag,,"(worst quality, low quality:1.4),(jpeg artifacts:1.4),(depth of field, bokeh, blurry, film grain, chromatic aberration:1),trembling,motion lines,motion blur,emphasis lines,text,title,logo,signature,"
负tag带e,,"verybadimagenegative_v1.3,(worst quality, low quality:1.4),(jpeg artifacts:1.4),(depth of field, bokeh, blurry, film grain, chromatic aberration:1),trembling,motion lines,motion blur,emphasis lines,text,title,logo,signature,"
负tag+,,"(worst quality, low quality:1.4),(jpeg artifacts:1.4),(depth of field, bokeh, blurry, film grain, chromatic aberration:1),bad anatomy,extra limbs,extra fingers,fewer digits,greyscale,monochrome,trembling,motion lines,motion blur,emphasis lines,text,title,logo,signature,"
女孩,"(masterpiece,best quality, official art,:1.2),1girl,",
婚纱全套,"bride, bridal veil, bridal gauntlets, wedding dress, bridal garter, bridal legwear, white thighhighs, stiletto heels,",
婚纱全套 绝对空域,"bride,bridal veil,bridal gauntlets,wedding dress,bridal garter,bridal legwear,white thighhighs,stiletto heels,((front pussy)),((thigh gap)),",
婚纱 巨乳 紧身衣 笑 ,"(bridal gown:1.4), Amazing Breasts, Big Breasts, Amazing Thighs, seductive smile, smart, wedding, tight clothes, lace,polka dot,striped,lolita fashion,",
抱枕 丝袜 萝莉 掀裙子,"solo, 1girl,(oppai loli:1.25), (slender body:1.3),(revealing panties), (skirt lift:1.3),(dress lift:1.3), (lifted by self:1.4),(striped panties:1.2),(:d:1.4),(big eyes:1.2), (short girl:1.15),(rib, collarbone:1.15), (infant girl:1.15), (loli big face:1.2), (cleavage:1.2),maid, (8 years old:1.3),(short person:1.3),(maid apron),(maid headdress),(white hair:1.2),flat chest,medium breasts,portrait, fox ears, animal ear fluff, ahoge, braid, [blue eyes:green eyes:0.5], (medium breasts) , long hair, cute face, detailed gradient eyes, looking at viewer, blush, embarrassed, masterpiece, best quality, 4k, 8k,(full body:1.3),(from above,plane_view),(white pantyhose:1.3),(lying on bed:1.4),solo focus,(coquettish:1.2),blush,shy,bed sheet,(shiny:1.4),(Oil highlights:1.5)[wet with oil:0.3],reflection,",
精灵 御姐 裸 丝袜 面包 自慰,"((masterpiece)),(((high quality))),(extremely detailed CG unity 8k wallpaper),1girl,((((mature girl)))),highere,long white hair,bangs,medium breast and thigh,cumshots,silk stockings,naked,white pussy,creampie,after sex,shushing,torogao,album cover,((blush)),((open mouth)),((screaming)),(saliva),earrings,choker,((lace trim)),thighband pantyhose,high heels,beautiful detailed eyes,((gentle)),wife,beauty mark,(bare chest),(Nude pussy),(((perfect face))),(((perfect breasts))),(((perfect pussy))),elf,((No panties)),",
猫耳雌小鬼 幼女,"kemonomimi mode,chibi,lalafell,full body,extremely detailed CG unity 8k wallpaper,detailed manga illustration,(((infant))),(((petite))),1girl,long hair,detail fingers,slim legs,blush,aquagradient eyes,barefoot,white hair/blue eyes,anal,spread anus,cum in ass,ass grab,{oral},vaginal,spread legs,m legs,solo focus,sex,overflow,sweat,ahoge,small breasts,grin,smug,naughty face,naughty face,open mouth,loli,smile,eyeball,evil smile,fang,cat ears,cat tail,anal beads,onsen,",
白毛 萝莉 白色过膝袜 下蹲,"on bed,(extremely detailed CG unity 8k wallpaper),(((detailed manga illustration))),(((meticulous painting))),ahoge,long_hair,skindentation,no_panties,flat_chest,(((detail fingers))),squatting,Perfect female body,infant,Silver hair,purple eyes,slim waist,virgin,cat girl,enchanter,shiny skin,see-through,white_thighhighs,",
御姐 哥特式礼服,"masterpiece,best quality,official art,extremely detailed cg unity 8k wallpaper, crystals texture skin, cold expression, blue hair,long hair,messy hair, looking at viewer, extremely delicate and beautiful , beautiful and detailed sky, water, ultra -detailed, incredibly detailed,(an extremely delicate and beautiful), beautiful detailed eyes, (best quality), (masterpiece), (highres), original, dramatic angle, cinematic lighting, cinematic highlight hair, beautiful hand, lace glove, detailed jewelry necklace, jewelry earrings, gothic,mature woman, handsome, light smile, kitsune,",
绿毛 旗袍 丝袜 抬胳膊,"1girl, solo, breasts, long hair, thighhighs, green hair, dress, detached sleeves, looking at viewer, hair ornament, cleavage, white dress, hair flower, large breasts, bare shoulders, chinese clothes, flower, china dress, pelvic curtain, black thighhighs, white footwear, high heels, clothing cutout, ahoge, yellow eyes, thighs, long sleeves, indoors, sitting, very long hair, see-through, jewelry, parted lips, earrings, blush, see-through sleeves, arm up, full body, tassel, gold trim, navel,",
婚纱 兽耳,"(incredibly_absurdres:1.5),((masterpiece)),(extremely detailed CG unity 8k wallpaper),(highres),full body,the top of the hill,beautiful detailed sky,original,illustration,{an extremely delicate and beautiful},long_hair,light_brown_hair,beautiful and detailed eyes,green eyes,loli,kemonomimi mode,(a lot of Colorful bubbles),White wedding dress,wedding veil,butterflys flying,Hair fluttering,(shy),cat ears,white thighhighs,bare shoulders,elbow gloves,white gloves,",
雪女 连衣裙 背面 回头看,"((masterpiece)), ((an extremely detailed and delicate)), (8k cg wallpaper), (stunning art), ((illustration )), (ink splashing), (amazing), (1 girl), (elf),anime face,(small_breast),floating,beautiful detailed winter sky,an detailed silver organdie dress,snowflake texture organdie dress,bare_shoulder,focus_on_face,flowing_long_hair, lace tulle,lens_flare,(light_leaks,silver light),detailed_beautiful_Snow sky_with_star_and_moon,silver_hair,silver clothes, ((Snowflakes)),snowflake texture clothes+hair+skin,ornament,snowflake ornament,snowflake hair ornament,floating sand flow,(beautiful detailed blue eyes), (8k_wallpaper),blue roses,masterpiece, best quality,silver thighhighs,looking_at_viewer,((wariza)),(neck, back, looking back, dhalter dress, backless dress),",
